=== fh1 xex post-import recon ===
program: default.bin
language: PowerPC:BE:32:default
base: 82000000

--- RTTI class names (.?AV...@@) ---
(0 RTTI names dumped)

--- defined strings in .rdata with code xrefs (top 600 by ref count) ---
  refs=39  va=82032118  'EMPTY_SCENE'
  refs=37  va=82004c74  'map/set<T> too long'
  refs=24  va=82040314  'SCENE_REMOVED'
  refs=17  va=8203fc64  'H_MESSAGE_POPUP'
  refs=15  va=82040300  '108_C_BUY_CARSELECT'
  refs=14  va=8204e51c  'Tuning'
  refs=14  va=82040660  'SHOW_SCREEN_INFO'
  refs=14  va=8204064c  'HIDE_SCREEN_INFO'
  refs=14  va=8200e7a8  'HelpButtons'
  refs=13  va=832c1008  '.?AUCParams2ICarPresentationSetHeadlightOffset@CCarPresentationDeferred@@'
  refs=13  va=820e801c  'Forza.WebServices.Storefront, Forza.WebServices'
  refs=12  va=8200c32c  'InGame'
  refs=11  va=822a7b04  'Assertion failed: %s (%s:%u)'
  refs=11  va=8203fb94  'H_LOAD_SAVE'
  refs=11  va=8203210c  'Storefront'
  refs=10  va=820746f4  'Camera\\FileData\\Driver'
  refs=10  va=82027758  'CarFlow'
  refs=9  va=820e242c  'Forza.WebServices.User, Forza.WebServices'
  refs=9  va=820401a8  'H_GENERIC'
  refs=9  va=82009aa0  'DisplayName'
  refs=9  va=82005360  'INTRO_DONE'
  refs=8  va=820402ec  '039_I_SPINNER_LIST'
  refs=8  va=82040068  '035_D_LOADING'
  refs=7  va=8328c1c8  '.?AV?$TBaseTypeChain@VCWaitForMapWayPointChange@States@@VCGameStateBehaviour@2@@RTTI@@'
  refs=7  va=822b0e08  'e:\\xenon\\main_xdkfeb12\\core\\private\\xdk\\xtl\\graphics\\xgraphics\\ucode\\compiler\\ir\\irinst.cpp'
  refs=7  va=8227b3fc  '..\\src\\fmod_eventprojecti.cpp'
  refs=7  va=82138b14  'Center'
  refs=7  va=820db5f8  'Xls.WebServices.Clan, Xls.WebServices'
  refs=7  va=82022058  '_Container'
  refs=6  va=8213b274  'inputgain'
  refs=6  va=8213b268  'overdrive'
  refs=6  va=8213b258  'outputgain'
  refs=6  va=82138b1c  'Bandwidth'
  refs=6  va=82040294  '114_C_BUY_BUYCAR_COLOR'
